Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.0638,17682.0,0.36,264067.0,0.501,9.32e-05,7.0,593396.0,0.172,-9.129,0.0258,382823305.0,74.807,0.324,89246405.0
0.0724,238.0,0.419,257480.0,0.383,0.0176,4.0,2133.0,0.0896,-11.782,0.0256,291096318.0,87.568,0.35,80290.0
0.224,1669.0,0.293,267187.0,0.276,0.122,4.0,171322.0,0.167,-11.357,0.0349,146857863.0,121.603,0.195,10644157.0
0.772,4852.0,0.531,318187.0,0.61,0.756,11.0,125774.0,0.0908,-8.025,0.0387,121688699.0,152.958,0.199,15335499.0
0.108,8010.0,0.462,248893.0,0.832,0.00416,11.0,180969.0,0.0741,-6.085,0.0479,79367881.0,165.653,0.807,26398730.0
0.167,15400.0,0.463,290707.0,0.229,0.0997,2.0,398951.0,0.202,-12.592,0.0297,219867047.0,73.543,0.135,61340263.0
0.000401,6899.0,0.291,234800.0,0.767,0.012,7.0,146328.0,0.0763,-6.913,0.0862,88945336.0,175.702,0.359,15041854.0
0.832,4536.0,0.516,255387.0,0.342,0.579,4.0,124486.0,0.0857,-9.785,0.0342,86388469.0,128.378,0.167,12205514.0
0.061,44487.0,0.574,208400.0,0.913,0.00158,6.0,2039258.0,0.156,-4.793,0.133,1143164505.0,115.728,0.423,274830901.0
0.000147,153047.0,0.502,292880.0,0.89,0.0117,4.0,5989128.0,0.217,-5.175,0.0364,1088388556.0,133.52,0.259,1224226060.0
0.011,134549.0,0.31,255493.0,0.7,0.00965,9.0,5643694.0,0.0828,-5.678,0.047,1182379398.0,188.386,0.763,915158054.0
0.00287,26645.0,0.532,210173.0,0.767,0.000513,7.0,1348845.0,0.39,-5.509,0.0574,802076123.0,127.361,0.755,279117834.0
0.153,19584.0,0.754,214667.0,0.759,0.000108,9.0,934797.0,0.101,-5.218,0.302,526521070.0,126.366,0.435,240908491.0
0.00532,29353.0,0.389,312293.0,0.873,0.0055,4.0,1067479.0,0.273,-4.768,0.0475,296521772.0,106.767,0.303,252038354.0
0.214,1029.0,0.668,231933.0,0.906,0.00245,11.0,14044.0,0.135,-4.881,0.17,269837425.0,135.653,0.507,852728.0
0.000239,17673.0,0.457,317427.0,0.904,0.0879,2.0,642344.0,0.396,-5.303,0.0747,292026041.0,141.038,0.48,172293392.0
0.133,240.0,0.456,301227.0,0.863,0.0538,3.0,1881.0,0.0553,-3.551,0.0894,196347993.0,135.962,0.532,102527.0
0.000998,2251.0,0.547,261507.0,0.931,0.0118,2.0,119749.0,0.278,-2.356,0.0615,144143014.0,118.4,0.697,18237531.0
0.0873,131565.0,0.744,289133.0,0.766,0.0,0.0,3670416.0,0.509,-6.375,0.0265,1001227038.0,127.966,0.61,638267058.0
0.176,57072.0,0.831,194438.0,0.868,0.0,11.0,1327396.0,0.184,-5.282,0.0325,162685755.0,131.971,0.483,144690551.0
0.111,180386.0,0.834,272533.0,0.699,0.0,5.0,4899065.0,0.131,-3.222,0.178,752091441.0,94.086,0.809,888076529.0
0.186,70720.0,0.659,219427.0,0.628,0.0,0.0,1594576.0,0.105,-8.685,0.179,331578264.0,94.05,0.262,292211575.0
0.0206,222922.0,0.965,222523.0,0.485,0.0237,2.0,5488829.0,0.0655,-8.784,0.191,453923193.0,124.025,0.312,662529115.0
0.0093,133551.0,0.649,213067.0,0.931,0.0,1.0,4746197.0,0.751,-3.15,0.181,492130246.0,153.645,0.744,755836314.0
0.00789,1238.0,0.66,158571.0,0.942,1.76e-05,4.0,61252.0,0.834,-2.273,0.185,27908495.0,126.017,0.543,2099141.0
0.00474,73011.0,0.798,284373.0,0.629,2.29e-05,11.0,2094991.0,0.324,-6.857,0.0735,363930118.0,130.002,0.4,458724349.0
0.0295,130819.0,0.732,214855.0,0.716,0.000758,10.0,6398855.0,0.73,-6.968,0.0561,869795408.0,105.093,0.666,1021503328.0
0.203,38381.0,0.872,236190.0,0.789,2.39e-05,1.0,242932.0,0.125,-6.047,0.132,18501860.0,126.042,0.646,43226385.0
0.0173,508425.0,0.932,294227.0,0.457,0.0436,11.0,9523245.0,0.0414,-9.62,0.0541,1302677366.0,117.002,0.884,1300732161.0
0.0784,386.0,0.608,245507.0,0.756,0.0,7.0,7314.0,0.187,-2.675,0.176,103974637.0,176.086,0.55,545655.0
0.0242,259358.0,0.776,258400.0,0.711,0.000353,3.0,6656468.0,0.234,-9.03,0.0473,826832314.0,138.728,0.901,905692299.0
0.247,25952.0,0.853,257760.0,0.981,0.468,8.0,672624.0,0.306,-3.947,0.0751,526030670.0,118.193,0.595,84652754.0
0.179,87490.0,0.808,220627.0,0.535,9.91e-05,1.0,2269865.0,0.158,-12.521,0.0353,346137424.0,114.031,0.848,301845823.0
0.126,89160.0,0.878,365467.0,0.821,0.0461,11.0,2254295.0,0.183,-9.875,0.089,389644450.0,118.881,0.947,349102050.0
0.205,335112.0,0.859,284160.0,0.905,0.00837,0.0,8312571.0,0.322,-5.539,0.129,256361972.0,89.946,0.731,978680025.0
0.153,127080.0,0.831,239227.0,0.921,0.00224,5.0,3085718.0,0.305,-2.383,0.0582,224254298.0,108.002,0.795,504057332.0
0.0544,94765.0,0.877,298120.0,0.854,5.5e-05,1.0,2515830.0,0.144,-4.523,0.147,349629692.0,114.472,0.54,436325398.0
0.132,53821.0,0.775,246027.0,0.719,1.79e-06,7.0,2121502.0,0.0662,-6.212,0.0435,280500270.0,117.513,0.712,343328494.0
0.346,166423.0,0.778,242733.0,0.547,0.000302,2.0,6420621.0,0.132,-7.273,0.0489,995490565.0,95.002,0.441,1518313784.0
0.0273,7540.0,0.668,225789.0,0.802,0.0,5.0,216805.0,0.163,-4.005,0.0917,34361626.0,113.796,0.769,10941241.0
0.0048,47667.0,0.7,202960.0,0.709,0.0,7.0,1026177.0,0.029,-5.006,0.0838,502735560.0,122.019,0.624,237232986.0
0.00144,78435.0,0.674,247907.0,0.628,0.0,2.0,2554163.0,0.0944,-7.079,0.03,476783121.0,103.998,0.552,534286492.0
0.000334,60960.0,0.534,215160.0,0.87,0.0,11.0,2187945.0,0.241,-3.078,0.0425,471672024.0,126.019,0.462,432775314.0
0.0281,38357.0,0.491,269600.0,0.588,2.01e-06,1.0,1819636.0,0.0906,-6.177,0.0506,662431775.0,113.608,0.193,339837769.0
0.0528,24233.0,0.473,138573.0,0.592,0.0,5.0,948515.0,0.131,-6.859,0.138,346097538.0,159.7,0.292,80575503.0
0.00162,5707.0,0.636,237200.0,0.888,0.000216,8.0,146755.0,0.147,-3.889,0.0945,2790105.0,122.032,0.25,3309247.0
0.00462,20095.0,0.688,208493.0,0.734,0.0,9.0,611231.0,0.0756,-4.569,0.0274,219363750.0,140.004,0.46,168736063.0
0.00144,31361.0,0.457,230733.0,0.823,0.0,9.0,938718.0,0.108,-4.76,0.311,170002964.0,192.205,0.578,149977268.0
0.209,205147.0,0.637,250760.0,0.678,0.0,0.0,5550929.0,0.156,-3.798,0.266,908006704.0,84.039,0.254,719661717.0
0.00286,341006.0,0.908,290320.0,0.669,0.0,7.0,11469490.0,0.237,-2.827,0.0738,1457351902.0,112.238,0.662,1590485349.0
0.0302,169037.0,0.949,284200.0,0.661,0.0,5.0,6489755.0,0.0454,-4.244,0.0572,1232567233.0,104.504,0.76,777507160.0
0.0215,35404.0,0.802,350320.0,0.755,0.0,4.0,950561.0,0.295,-3.138,0.0564,466021760.0,130.027,0.58,139257221.0
0.0622,291.0,0.548,297787.0,0.847,0.0,1.0,18992.0,0.0816,-3.237,0.186,1548871694.0,171.447,0.1,1931315.0
