Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Back In Black,album,AC/DC,acdcVEVO,True,AC/DC - Shoot To Thrill (Iron Man 2 Version),Shoot to Thrill,True
High Voltage,album,AC/DC,Official Lives & Music Videos - Official Channel,False,AC/DC - It's a Long Way to the Top (If You Wanna Rock 'n' Roll) (Official Video),It's a Long Way to the Top (If You Wanna Rock 'N' Roll),False
Black Ice,album,AC/DC,acdcVEVO,True,AC/DC - Rock N Roll Train (Official Video),Rock N Roll Train,True
THE E.N.D. (THE ENERGY NEVER DIES),album,Black Eyed Peas,BlackEyedPeasVEVO,True,The Black Eyed Peas - I Gotta Feeling (Official Music Video),I Gotta Feeling,True
ELEVATION,album,Black Eyed Peas,BlackEyedPeasVEVO,True,"Black Eyed Peas, Shakira, David Guetta - DON'T YOU WORRY (Official Music Video)",DON'T YOU WORRY,True
Elephunk,album,Black Eyed Peas,BlackEyedPeasVEVO,True,The Black Eyed Peas - Where Is The Love? (Official Music Video),Where Is The Love?,True
The Beginning,album,Black Eyed Peas,BlackEyedPeasVEVO,True,The Black Eyed Peas - Just Can't Get Enough (Official Music Video),Just Can’t Get Enough,True
TRANSLATION,album,Black Eyed Peas,BlackEyedPeasVEVO,True,"Black Eyed Peas, Shakira - GIRL LIKE ME (Official Music Video)",GIRL LIKE ME,True
Monkey Business,album,Black Eyed Peas,BlackEyedPeasVEVO,True,The Black Eyed Peas - Pump It (Official Music Video),Pump It,True
Pump It Louder,single,Black Eyed Peas,Tiësto,True,Tiësto & Black Eyed Peas - Pump It Louder (Official Video),Pump It Louder,True
THE E.N.D. (THE ENERGY NEVER DIES),album,Black Eyed Peas,BlackEyedPeasVEVO,True,The Black Eyed Peas - Meet Me Halfway (Official Music Video),Meet Me Halfway,True
TRANSLATION,album,Black Eyed Peas,BlackEyedPeasVEVO,True,"Black Eyed Peas, J Balvin - RITMO (Bad Boys For Life) (Official Music Video)",RITMO (Bad Boys For Life),True
ELEVATION,album,Black Eyed Peas,BlackEyedPeasVEVO,True,"Black Eyed Peas, Anitta, El Alfa - SIMPLY THE BEST (Official Music Video)",SIMPLY THE BEST,True
Thriller,album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - Billie Jean (Official Video),Billie Jean,True
XSCAPE,album,Michael Jackson,MJ4481,False,Michael Jackson - Chicago,Chicago,False
Thriller,album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - Beat It (Official 4K Video),Beat It,True
Bad (Remastered),album,Michael Jackson,vman,False,Michael Jackson - Smooth Criminal (Single Version) HD,Smooth Criminal - 2012 Remaster,False
Off the Wall,album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - Rock With You (Official Video),Rock with You - Single Version,True
Off the Wall,album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - Don’t Stop 'Til You Get Enough (Official Video),Don't Stop 'Til You Get Enough,True
"HIStory - PAST, PRESENT AND FUTURE - BOOK I",album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),They Don't Care About Us,True
Dangerous,album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - Remember The Time (Official Video),Remember the Time,True
Bad (Remastered),album,Michael Jackson,michaeljacksonVEVO,True,Michael Jackson - The Way You Make Me Feel (Official Video),The Way You Make Me Feel - 2012 Remaster,True
XSCAPE,album,Michael Jackson,michaeljacksonVEVO,True,"Michael Jackson, Justin Timberlake - Love Never Felt So Good (Official Video)",Love Never Felt So Good,True
The Truth About Love,album,P!nk,PinkVEVO,True,P!nk - Just Give Me A Reason ft. Nate Ruess,Just Give Me a Reason (feat. Nate Ruess),True
Never Gonna Not Dance Again,single,P!nk,PinkVEVO,True,P!NK - Never Gonna Not Dance Again (Official Video),Never Gonna Not Dance Again,True
Raise Your Glass,single,P!nk,PinkVEVO,True,P!nk - Raise Your Glass (Official Video),Raise Your Glass,True
The Truth About Love,album,P!nk,PinkVEVO,True,P!nk - Try (Official Video),Try,True
Funhouse (Expanded Edition),album,P!nk,PinkVEVO,True,P!nk - So What (Official Video),So What,True
Beautiful Trauma,album,P!nk,PinkVEVO,True,P!NK - What About Us (Official Video),What About Us,True
All I Know So Far: Setlist,album,P!nk,PinkVEVO,True,"P!NK, Willow Sage Hart - Cover Me In Sunshine (Official Video)",Cover Me In Sunshine,True
TRUSTFALL,single,P!nk,PinkVEVO,True,P!NK - TRUSTFALL (Official Video),TRUSTFALL,True
I'm Not Dead,album,P!nk,PinkVEVO,True,P!nk - Who Knew (Official Video),Who Knew,True
The Truth About Love,album,P!nk,PinkVEVO,True,P!nk - True Love (Official Video) ft. Lily Allen,True Love (feat. Lily Allen),True
Encore (Deluxe Version),album,Eminem,EminemVEVO,True,Eminem - Mockingbird [Official Music Video],Mockingbird,True
The Eminem Show,album,Eminem,EminemVEVO,True,Eminem - Without Me (Official Music Video),Without Me,True
The Marshall Mathers LP,album,Eminem,EminemVEVO,True,Eminem - The Real Slim Shady (Official Video - Clean Version),The Real Slim Shady,True
The Eminem Show,album,Eminem,EminemVEVO,True,Eminem - Superman (Clean Version) ft. Dina Rae,Superman,True
The Eminem Show,album,Eminem,Mydełko,False,Eminem - Till I Collapse Feat. Nate Dogg [OFFICIAL MUSIC VIDEO],Till I Collapse,False
The Marshall Mathers LP,album,Eminem,EminemVEVO,True,Eminem - Stan (Long Version) ft. Dido,Stan,True
Recovery,album,Eminem,EminemVEVO,True,Eminem - Love The Way You Lie ft. Rihanna,Love The Way You Lie,True
Music To Be Murdered By,album,Eminem,Lyrical Lemonade,False,Eminem - Godzilla ft. Juice WRLD (Directed by Cole Bennett),Godzilla (feat. Juice WRLD),False
