Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Love Forever With Arijit Singh,compilation,Mithoon,,,,"Sanam Re (From ""Sanam Re"")",
Radhe Shyam,album,Mithoon,T-Series,True,"Soch Liya Song | Radhe Shyam | Prabhas, Pooja Hegde | Mithoon, Arijit Singh, Manoj M | Bhushan K",Soch Liya,True
Salaam Venky (Original Motion Picture Soundtrack),album,Mithoon,Zee Music Company,True,"Jo Tum Saath Ho Duet - Full | Salaam Venky | Kajol, Aamir Khan | Arijit Singh,Shreya Ghoshal,Mithoon",Jo Tum Saath Ho,True
The Rokstarr Hits Collection,album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Dynamite (Official Video),Dynamite,True
The Rokstarr Hits Collection,album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Break Your Heart (Long),Break Your Heart,True
TY.O (International Version),album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Hangover (Official Video) ft. Flo Rida,Hangover,True
Rokstarr (Special Edition),album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Higher (Official UK Version) ft. Kylie Minogue,Higher,True
There She Goes,single,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - There She Goes (Official Video),There She Goes,True
Departure,album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - She's Like A Star (Official Video),She's Like A Star,True
TY.O (International Version),album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Troublemaker,Troublemaker,True
Hangover (The Remixes),single,Taio Cruz,Taio Cruz - Topic,True,Hangover (Hardwell Remix Radio Edit),Hangover - Hardwell Remix Radio Edit,True
Rokstarr,album,Taio Cruz,TaioCruzVEVO,True,Taio Cruz - Higher (Official UK Version) ft. Kylie Minogue,Higher,True
Rokstarr (Special Edition),album,Taio Cruz,TaioCruzVEVO,True,"Telling the World (From the Soundtrack to ""RIO"" the Movie)",Telling The World,True
Por Fin Te Encontré,single,Cali Y El Dandee,CaliyElDandeeVEVO,True,"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magan, Sebastian Yatra (Video Oficiel)",Por Fin Te Encontré,True
3 A.M.,album,Cali Y El Dandee,CALIDANDEE,True,Cali Y El Dandee - Yo Te Esperaré,Yo Te Esperaré,True
Malibu,album,Cali Y El Dandee,CaliyElDandeeVEVO,True,"Cali Y El Dandee, Danna Paola - Nada",Nada,True
La Musiquita,single,Cali Y El Dandee,DavilesdeNoveldaVEVO,True,"Daviles de Novelda, Cali Y El Dandee - La Musiquita (Video Oficial)",La Musiquita,True
VIAJANTE,album,Cali Y El Dandee,FonsecaVEVO,True,"Fonseca, Greeicy, Cali Y El Dandee - 2005 (Official Video)",2005,True
La Estrategia,single,Cali Y El Dandee,CaliyElDandeeVEVO,True,Cali Y El Dandee - La Estrategia (Video Oficial),La Estrategia,True
11 RAZONES,album,Cali Y El Dandee,CaliyElDandeeVEVO,True,Cali Y El Dandee - La Estrategia (Video Oficial),+ (MÁS),True
Colegio,album,Cali Y El Dandee,CaliyElDandeeVEVO,True,"Cali Y El Dandee, Sebastián Yatra - Locura",Locura,True
Quiero Volver,album,Cali Y El Dandee,TiniVEVO,True,"TINI, Cali Y El Dandee - Por Que Te Vas",Por Qué Te Vas,True
Soltera,single,Cali Y El Dandee,CaliyElDandeeVEVO,True,"Cali Y El Dandee, Omar Montes - Soltera (Official Video)",Soltera,True
Al Derecho Y Al Reverso,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Eres Ese Algo,Eres Ese Algo,True
Fuentes de Ortiz,single,La Maquinaria Norteña,La Maquinaria Nortena,True,La Maquinaria Norteña - Fuentes De Ortiz (Video Oficial),Fuentes de Ortiz,True
En Las Buenas Y En Las Malas,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Con Ese Corazón,Con Ese Corazón,True
El Fenómeno,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Así Ya No,Así Ya No,True
Más Especial,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Especial,Especial,True
Al Derecho Y Al Reverso,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Lo Mejor De Lo Mejor (LETRA),Lo Mejor De Lo Mejor,True
Hoy Más Que Nunca,single,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Para Qué Amarte,Hoy Más Que Nunca,True
No Quiero Compartir,single,La Maquinaria Norteña,Azteca Music Group,True,La Maquinaria Norteña - No Quiero Compartir ft La Energía Norteña La Fiera De Ojinaga(Video Oficial),No Quiero Compartir,True
Al Derecho Y Al Reverso,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - 50 Y Cincuenta,50 Y Cincuenta,True
Por Obvias Razones,album,La Maquinaria Norteña,LaMaquinariaVEVO,True,La Maquinaria Norteña - Por Obvias Razones,Por Obvias Razones,True
c@ra++ere s?ec!@le,album,Coez,thaSupremeVEVO,True,thasup - !ly (Visual Video) ft. Coez,!ly (feat. Coez),True
Faccio un casino,album,Coez,CoezVEVO,True,Coez - La Musica Non C'è (Video Ufficiale),La musica non c'è,True
Faccio un casino,album,Coez,CoezVEVO,True,Coez - Le luci della città (Video Ufficiale),Le luci della città,True
Volare,album,Coez,CoezVEVO,True,Coez - Occhi rossi (Official Video),Occhi rossi,True
È sempre bello,album,Coez,CoezVEVO,True,Coez - È sempre bello (Video Ufficiale),È sempre bello,True
Faccio un casino,album,Coez,CoezVEVO,True,Coez - Faccio un casino (Video Ufficiale),Faccio un casino,True
DJUNGLE UNCHAINED,album,Coez,TY1 - Topic,True,"STANOTTE (feat. Coez, Massimo Pericolo)","STANOTTE (feat. Coez, Massimo Pericolo)",True
Volare,album,Coez,CoezOfficial,True,Coez - Margherita (Visual Album),Margherita,True
Volare,album,Coez,CoezVEVO,True,Coez - Come nelle canzoni (Video Ufficiale),Come nelle canzoni,True
Botox,album,Coez,TheNightSkinnyVEVO,True,"Night Skinny, Madame, Coez - Come Mi Guardi (Visual) ft. Bresh","Come Mi Guardi (con Madame, Coez & Bresh)",True
"Alright, Still (Bonus Track Version)",album,Lily Allen,Lily Allen,True,Lily Allen | Smile (Official Video),Smile,True
Sheezus,album,Lily Allen,Lily Allen,True,Lily Allen | Somewhere Only We Know (John Lewis Christmas Advert),Somewhere Only We Know,True
"It's Not Me, It's You",album,Lily Allen,Lily Allen,True,Lily Allen | Not Fair (Official Video),Not Fair,True
"It's Not Me, It's You",album,Lily Allen,Lily Allen,True,Lily Allen | Fuck You (Official Video - Explicit Version),Fuck You,True
"Alright, Still (Bonus Track Version)",album,Lily Allen,Lily Allen,True,Lily Allen | LDN (Official Video),LDN,True
Raggamuffin SoundTape,album,Lily Allen,cult . ure,True,Shy FX - Roll The Dice feat. Stamina MC & Lily Allen (Official Video),Roll The Dice (feat. Stamina MC & Lily Allen),True
"It's Not Me, It's You",album,Lily Allen,Lily Allen,True,Lily Allen | The Fear (Official Video - Explicit Version),The Fear,True
Spotify Sessions,single,Lily Allen,Jack,True,Lily Allen - Somewhere Only We Know - Live du Grand Journal,"Somewhere Only We know - Live from Spotify, London",True
Spotify Singles,single,Lily Allen,Ralph Grech,False,"Lily Allen - Mad World (Recorded at Metropolis Studios, London)","Mad World - Recorded at Metropolis Studios, London",False
Sheezus,album,Lily Allen,Lily Allen,True,Lily Allen | Hard Out Here (Official Video - Explicit Version),Hard out Here,True
Alfredo,album,Freddie Gibbs,Freddie Gibbs,False,"Freddie Gibbs & The Alchemist - Something to Rap About (feat. Tyler, The Creator) (Visualizer)","Something to Rap About (feat. Tyler, The Creator)",True
Too Much (feat. Moneybagg Yo),single,Freddie Gibbs,Freddie Gibbs,True,Freddie Gibbs - Too Much (ft. Moneybagg Yo) [Official Music Video],Too Much (feat. Moneybagg Yo),True
Alfredo,album,Freddie Gibbs,Freddie Gibbs,False,Freddie Gibbs & The Alchemist - 1985 (Official Video),1985,True
Bandana,album,Freddie Gibbs,Freddie Gibbs,False,Freddie Gibbs & Madlib - Crime Pays (Official),Crime Pays,True
Alfredo,album,Freddie Gibbs,Freddie Gibbs,False,Freddie Gibbs & The Alchemist - Scottie Beam featuring Rick Ross (Official Video),Scottie Beam,True
$oul $old $eparately (Bonus Edition),album,Freddie Gibbs,Freddie Gibbs,True,Freddie Gibbs - Gang Signs (feat. ScHoolboy Q) [Official Video],Gang Signs (feat. ScHoolboy Q),True
Alfredo,album,Freddie Gibbs,Freddie Gibbs,False,Freddie Gibbs & The Alchemist - Babies & Fools featuring Conway The Machine (Official Video),Babies & Fools (feat. Conway the Machine),True
$oul $old $eparately,album,Freddie Gibbs,Freddie Gibbs,True,Freddie Gibbs - Dark Hearted (Official Music Video),Dark Hearted,True
$oul $old $eparately,album,Freddie Gibbs,Freddie Gibbs,True,Freddie Gibbs - Couldn't Be Done (ft. Kelly Price) [Official Visualizer],Couldn’t Be Done (feat. Kelly Price),True
$oul $old $eparately (Bonus Edition),album,Freddie Gibbs,Freddie Gibbs,True,Freddie Gibbs - 4 Thangs featuring Big Sean & Hit-Boy [Official Music Video],4 Thangs (feat. Big Sean & Hit-Boy),True
Spirit,album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - Bleeding Love (Official Video),Bleeding Love,True
"Christmas, With Love",album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - One More Sleep (Official Video),One More Sleep,True
Only Human (Special Edition),album,Leona Lewis,CalumScottVEVO,True,"Calum Scott, Leona Lewis - You Are The Reason (Duet Version)",You Are The Reason - Duet Version,True
Spirit,album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - Better in Time (Official Video),Better in Time,True
"Christmas, With Love",album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - Winter Wonderland (Official Visualiser),Winter Wonderland,True
Spirit,album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - Run (Official Video),Run,True
AVATAR Music From The Motion Picture Music Composed and Conducted by James Horner,compilation,Leona Lewis,Atlantic Records,True,Leona Lewis - I See You (Theme from Avatar) [Official Video],I See You (Theme from Avatar),True
Spirit,album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - A Moment Like This (Official Video),A Moment Like This,True
Spirit,album,Leona Lewis,leonalewisVEVO,True,Leona Lewis - Footprints in the Sand (Official Video),Footprints in the Sand,True
Walking on Sunshine (Original Motion Picture Soundtrack),compilation,Leona Lewis,SunshineCastVEVO,True,Walking on Sunshine,Walking on Sunshine,True
Detras Del Miedo,album,El Komander,Musica de Arranque (Suscribete),True,El Komander - Malditas Ganas (Video Oficial) HD,Malditas Ganas,True
Los Buitres Con Tololoche,album,El Komander,MUSICA MEXICANA,True,MOVIMIENTO ALTERADO - SANGUINARIOS DEL M1 (VIDEO OFFICIAL),Sanguinarios Del M1,True
Belico,album,El Komander,Musica de Arranque (Suscribete),True,EL KOMANDER - CUERNITO ARMANI - VIDEO OFICIAL 2012 HD COMPLETO,Cuernito Armani,True
En Vivo Desde El Nokia,album,El Komander,Musica de Arranque (Suscribete),True,El Komander - El Papel Cambio (Video Oficial),El Papel Cambio (Bonus Track),True
Detras Del Miedo,album,El Komander,TwiinsCuliacanTv,False,La Princesa- El Komander,La Princesa,False
Cazador,album,El Komander,TwiinsCuliacanTv,True,Descansa Mi Amor (Video Oficial) - El Komander,Descansa Mi Amor,True
Detras Del Miedo,album,El Komander,El Komander - Topic,True,Me Interesa,A Mi Me Interesa,True
Y Seguimos La Borrachera,album,El Komander,TwiinsCuliacanTv,True,El Komander - BORRACHO Y ESCANDALOSO (Video Oficial),Borracho Y Escandaloso,True
Belico,album,El Komander,Musica de Arranque (Suscribete),True,El Taquicardio - El Komander (Video Oficial HD),El Taquicardio,True
Soy De Rancho,single,El Komander,TwiinsCuliacanTv,True,Soy De Rancho (Video Oficial) - El Komander,Soy De Rancho,True
Forgotten Journey,single,Prashant Katheriya,Prashant Katheriya,False,Jaane Kyu Main Sochta Hoon | Milne Hai Mujhse Aayi | Arijit Singh | Aashiqui 2 | Whatsapp Status,Jaane Kyu Main,True
Monsoon Love,single,Prashant Katheriya,,,,Mujhko De Tu Mit Jaane,
Tum Kyu Chale Aate Ho (Unplugged),single,Prashant Katheriya,,,,Tum Kyu Chale Aate Ho - Unplugged,
Tum Chhupa Na Sakogi (Unplugged),single,Prashant Katheriya,Prashant Katheriya,False,Main Yahan Hoon Yahan | Short Cover | Unplugged Piano Version | Prashant Katheriya,Tum Chhupa Na Sakogi - Unplugged,True
Devine Nostalgia (Unplugged),single,Prashant Katheriya,Prashant Katheriya,False,"A heart touching Song ""Mumkin"" - By Prashant Katheriya",Saari Raat,True
The Ocean Of Memories (Unplugged),single,Prashant Katheriya,sinha abhishek.D Vlog,False,Tu Ijazat De Agar Tujhse Thoda Pyar  | Jubin Nautiyal | New song 2021| Tera chehra jaan meri,Tu Ijazat De Agar - Unplugged,False
Monsoon Love,single,Prashant Katheriya,Prashant Katheriya,False,Main Yahan Hoon Yahan | Short Cover | Unplugged Piano Version | Prashant Katheriya,Ek Pal Ki Bhi Judai,True
The Ocean Of Memories (Unplugged),single,Prashant Katheriya,,,,Rukh Zindagi Ne Mod Liya - Unplugged,
Monsoon Love,single,Prashant Katheriya,,,,Pehle Kabhi,
The Ocean Of Memories (Unplugged),single,Prashant Katheriya,,,,Teri Nazar Mein - Unplugged,
Last Night In The Bittersweet,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Through The Echoes (Lyric Video),Through The Echoes,True
These Streets,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Last Request (Official Video),Last Request,True
Sunny Side Up,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Candy (Official Video),Candy,True
These Streets,album,Paolo Nutini,Angesagt!,True,Paolo Nutini - New Shoes (Official Music Video),New Shoes,True
Caustic Love,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Iron Sky [Abbey Road Live Session],Iron Sky,True
Last Night In The Bittersweet,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Acid Eyes (Official Visualiser),Acid Eyes,True
Sunny Side Up,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Pencil Full Of Lead (Official Video),Pencil Full of Lead,True
These Streets,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Jenny Don't Be Hasty (Official Video),Jenny Don't Be Hasty,True
Sunny Side Up,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Coming Up Easy (Official Video),Coming up Easy,True
Last Night In The Bittersweet,album,Paolo Nutini,Paolo Nutini,True,Paolo Nutini - Radio (Live In The Bittersweet),Radio,True
Heaven Is A Place On Earth,single,W&W,,,,Heaven Is A Place On Earth,
Skydance,single,W&W,,,,Skydance,
Dragostea Din Tei (W&W Remix),single,W&W,,,,Dragostea Din Tei - W&W Remix,
Moonlight Shadow,single,W&W,,,,Moonlight Shadow,
Poison (with Timmy Trumpet x W&W),single,W&W,,,,Poison (with Timmy Trumpet x W&W),
Come With Me,single,W&W,,,,Come With Me,
Rave Love,single,W&W,,,,Rave Love,
The Lone Ranger,single,W&W,,,,The Lone Ranger,
StarShine (I Don't Want This Night To End),single,W&W,,,,StarShine (I Don't Want This Night To End),
Repeat After Me,single,W&W,,,,Repeat After Me,
Famous Friends,album,Chris Young,ChrisYoungVEVO,True,"Chris Young, Kane Brown - Famous Friends (Official Video)",Famous Friends,True
I'm Comin' Over,album,Chris Young,ChrisYoungVEVO,True,Chris Young - I'm Comin' Over,I'm Comin' Over,True
Neon,album,Chris Young,ChrisYoungVEVO,True,Chris Young - Tomorrow (Official Video),Tomorrow,True
The Man I Want To Be,album,Chris Young,ChrisYoungVEVO,True,Chris Young - Gettin' You Home,Gettin' You Home,True
Looking for You + All Dogs Go to Heaven,single,Chris Young,ChrisYoungVEVO,True,Chris Young - Looking for You (Official Music Video),Looking for You,True
Famous Friends,album,Chris Young,ChrisYoungVEVO,True,"Chris Young, Mitchell Tenpenny - At the End of a Bar (Official Video)",At the End of a Bar,True
A.M.,album,Chris Young,ChrisYoungVEVO,True,Chris Young - Aw Naw,Aw Naw,True
I'm Comin' Over,album,Chris Young,ChrisYoungVEVO,True,Chris Young - Think of You (Duet with Cassadee Pope),Think of You,True
A.M.,album,Chris Young,ChrisYoungVEVO,True,Chris Young - Who I Am with You (Official Video),Who I Am With You,True
Neon,album,Chris Young,ChrisYoungVEVO,True,Chris Young - You (Official Video),You,True
Corridos En Código,album,Código FN,CÓDIGO FN,False,Código FN - Soy El Ratón (Video Oficial),Soy El Ratón,False
Billetes Verdes,album,Código FN,Gerencia360TV,True,Código FN - Billetes Verdes (Video Oficial),Billetes Verdes,True
Billetes Verdes,album,Código FN,Gerencia 360 Channel 2,True,Código FN - Ando Bien Al Tiro (Lyrics/Letra Oficial),Ando Bien Al Tiro,True
Corridos En Código,album,Código FN,CÓDIGO FN,False,El Imán - Código FN (Video Oficial),El Imán,False
Haciendo Magia,album,Código FN,,,,El Capitán,
Corridos En Código,album,Código FN,CÓDIGO FN,False,Código FN - Millennial (Video Oficial),Millennial,False
Billetes Verdes,album,Código FN,Gerencia360TV,True,Adriel Favela X Código FN - Miami Vibe (Video Oficial),Miami Vibe,True
El Trébol de la Suerte,single,Código FN,Gerencia360TV,True,Código FN x Marca Registrada - El Trébol De La Suerte (Video Oficial),El Trébol de la Suerte,True
Corridos En Código,album,Código FN,CÓDIGO FN,False,Iván Pa’ Allá Iván Pa’ Acá - CodigoFN (Lyric Video),Iván Pa'llá Iván Pa'cá,False
Soy Para Ti,single,Código FN,CÓDIGO FN,False,Código FN ft. Marca MP - Soy Para Ti (Video En Vivo),Soy Para Ti,False
Bhool Bhulaiyaa 2,album,Neeraj Shridhar,T-Series,True,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",Bhool Bhulaiyaa 2 Title Track,True
Cocktail,album,Neeraj Shridhar,Eros Now Music,True,"Tumhi Ho Bandhu Full Video Song | Cocktail | Saif Ai Khan, Deepika Padukone & Diana Penty | Pritam","Tum Hi Ho Bandhu (From ""Cocktail"")",True
Tum Mile (Original Motion Picture Soundtrack),album,Neeraj Shridhar,SonyMusicIndiaVEVO,True,"Tum Mile Full Video - Title Track|Emraan Hashmi,Soha Ali|Pritam|Neeraj Shridhar|Kumaar",Tum Mile,True
Tum Mile (Lofi Flip),single,Neeraj Shridhar,KSW - Topic,True,Tum Mile (Lofi Flip),Tum Mile - Lofi Flip,True
Desi Boyz,album,Neeraj Shridhar,T-Series,True,"""Jhak Maar Ke Full Song Desi Boyz"" | Deepika Padukone | John Abraham",Jhak Maar Ke,True
Bhool Bhulaiyaa,album,Neeraj Shridhar,T-Series,True,"Bhool Bhulaiyaa 2 (Title Track) Kartik A, Kiara A, Tabu |Pritam, Tanishk, Neeraj, Anees B, Bhushan K",Bhool Bhulaiyaa,True
Ready,album,Neeraj Shridhar,T-Series,True,Character Dheela (Full Song) Ready I Salman Khan I Zarine Khan | Pritam,Character Dheela,True
Race (Original Motion Picture Soundtrack),album,Neeraj Shridhar,Tips Official,True,"Lyrical: Khwab Dekhe (Sexy Lady) - Race | Saif Ali Khan, Katrina Kaif |Monali Thakur, Neeraj| Pritam",Khwab Dekhe Sexy Lady,True
Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),album,Neeraj Shridhar,Tips Official,True,"Prem Ki Naiyya - Ajab Prem Ki Ghazab Kahani | Ranbir Kapoor, Katrina | Neeraj, Suzanne | Pritam",Prem Ki Naiyya,True
Billu,album,Neeraj Shridhar,T-Series,True,"LYRICAL: Love Mera Hit Hit | Billu | Shahrukh Khan, Deepika Padukone | Neeraj Shridhar, Tulsi Kumar",Love Mera Hit Hit,True
Zukunft Pink (feat. Inéz),single,Peter Fox,Peter Fox,True,"Peter Fox - ""Zukunft Pink"" (feat. Inéz)",Zukunft Pink (feat. Inéz),True
Stadtaffe,album,Peter Fox,Peter Fox,True,Peter Fox - Alles neu (offizielles Video),Alles neu,True
Stadtaffe,album,Peter Fox,Raadio Uuno - Ainult [Ainult] Hitid,False,Peter Fox - Haus am See Official Music Video,Haus am See,False
Stadtaffe,album,Peter Fox,Peter Fox - Topic,True,Schüttel deinen Speck,Schüttel deinen Speck,True
Stadtaffe,album,Peter Fox,Peter Fox,True,Peter Fox - Schwarz zu Blau (offizielles Video),Schwarz zu blau,True
Stadtaffe,album,Peter Fox,MrBob95,False,Peter Fox - Stadtaffe - Video,Stadtaffe,False
Stadtaffe,album,Peter Fox,Peter Fox - Topic,True,Lok auf 2 Beinen,Lok auf 2 Beinen,True
Stadtaffe,album,Peter Fox,Peter Fox - Topic,True,Zucker (feat. Vanessa Mason),Zucker (feat. Vanessa Mason),True
Stadtaffe,album,Peter Fox,Peter Fox - Topic,True,Der letzte Tag,Der letzte Tag,True
"Zukunft Pink - ALLIANCE REMIX (feat. Focalistic, Kwam.E, ALBI X, Willy Will, Awa Khiwe, Benji Asare, Inéz)",single,Peter Fox,Peter Fox,True,"Focalistic, Peter Fox, ALBI X, Kwam.E … „Zukunft Pink“ Alliance RMX (Visualiser)","Zukunft Pink - ALLIANCE REMIX (feat. Focalistic, Kwam.E, ALBI X, Willy Will, Awa Khiwe, Benji Asare, Inéz)",True
+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),album,India Martinez,IndiaMartinezVEVO,True,"India Martinez, Melendi - SI ELLA SUPIERA (Video Oficial)","Y, ¿Si Fuera Ella? - + Es +",True
Nuestro Mundo,album,India Martinez,IndiaMartinezVEVO,True,"India Martinez, Melendi - SI ELLA SUPIERA (Video Oficial)",SI ELLA SUPIERA,True
Nuestro Mundo,album,India Martinez,IndiaMartinezVEVO,True,"India Martinez, Andy Rivera - 5 SENTÍOS (Video Oficial)",5 SENTÍOS,True
Resistiré,single,India Martinez,Warner Music Spain,True,Resistiré 2020 - Video Oficial,Resistiré,True
Convénceme,single,India Martinez,IndiaMartinezVEVO,True,"India Martinez, Marc Anthony - Convénceme",Convénceme,True
Dual,album,India Martinez,IndiaMartinezVEVO,True,India Martinez - Corazon Hambriento ft. Abel Pintos,Corazon Hambriento (feat. Abel Pintos),True
Nuestro Mundo,album,India Martinez,IndiaMartinezVEVO,True,India Martinez - NUESTRO MUNDO (Video Oficial),NUESTRO MUNDO,True
Trece Verdades,album,India Martinez,IndiaMartinezVEVO,True,India Martinez - 90 Minutos (Videoclip),90 Minutos,True
Otras Verdades,album,India Martinez,IndiaMartinezVEVO,True,India Martinez - Hoy (Videoclip),Hoy,True
No Me Basta,single,India Martinez,IndiaMartinezVEVO,True,"India Martinez, Dvicio - No Me Basta",No Me Basta,True
Victory Lap,album,Nipsey Hussle,Nipsey Hussle,True,Nipsey Hussle - Grinding All My Life / Stucc In The Grind (Official Video),Grinding All My Life,True
Victory Lap,album,Nipsey Hussle,Nipsey Hussle,True,Nipsey Hussle - Double Up Ft. Belly & Dom Kennedy [Official Music Video],Double Up (feat. Belly and Dom Kennedy),True
Racks in the Middle (feat. Roddy Ricch and Hit-Boy),single,Nipsey Hussle,Nipsey Hussle,True,Nipsey Hussle - Racks In The Middle (feat. Roddy Ricch & Hit-Boy),Racks in the Middle (feat. Roddy Ricch and Hit-Boy),True
Victory Lap,album,Nipsey Hussle,NipseyHussleVEVO,True,Nipsey Hussle - Hussle In The House (Explicit) [Official Video],Hussle & Motivate,True
Victory Lap,album,Nipsey Hussle,Nipsey Hussle,True,Nipsey Hussle - Victory Lap feat. Stacy Barthe [Official Video],Victory Lap (feat. Stacy Barthe),True
Victory Lap,album,Nipsey Hussle,Nipsey Hussle,True,Nipsey Hussle feat. YG - Last Time That I Checc'd (Official Video),Last Time That I Checc'd (feat. YG),True
Victory Lap,album,Nipsey Hussle,igwe fizzy,False,Nipsey Hussle “Dedication” feat  Kendrick Lamar Music Video,Dedication (feat. Kendrick Lamar),False
Victory Lap,album,Nipsey Hussle,RAPTRAX,False,"Nipsey Hussle ""Blue Laces 2"" (Music Video)",Blue Laces 2,False
Slauson Boy 2,album,Nipsey Hussle,WORLDSTARHIPHOP,False,"Nipsey Hussle ""Ocean Views"" (WSHH Exclusive - Official Music Video)",Ocean Views,False
Crenshaw,album,Nipsey Hussle,Carrissp TMC CRYPTO,False,Nipsey Hussle - Face The World 2020 Music Video Tribute - SaluTe!!,Face the World,False
Life in Cartoon Motion,album,MIKA,MIKAVEVO,True,MIKA - Grace Kelly,Grace Kelly,True
Bubblegum Pop,compilation,MIKA,MIKAVEVO,True,"MIKA - Relax, Take It Easy","Relax, Take It Easy",True
Life in Cartoon Motion,album,MIKA,MIKAVEVO,True,MIKA - Happy Ending,Happy Ending,True
Keep it Simple (feat. Mika),single,MIKA,Vianney Musique,True,"Vianney, @MikaSoundsOfficial  - Keep it simple (feat. Mika) (lyrics video)",Keep it Simple (feat. Mika),True
Life in Cartoon Motion,album,MIKA,MIKAVEVO,True,MIKA - Love Today (Official Music Video),Love Today,True
Popular Song,single,MIKA,MIKAVEVO,True,MIKA - Popular Song ft. Ariana Grande,Popular Song,True
Life in Cartoon Motion,album,MIKA,MIKAVEVO,True,MIKA - Lollipop (Official Music Video),Lollipop,True
Life in Cartoon Motion,album,MIKA,MIKAVEVO,True,MIKA - Big Girl (You Are Beautiful) (Official Music Video),Big Girl (You Are Beautiful),True
Donna sulla Luna,album,MIKA,BabyKVEVO,True,Baby K feat. Mika - Bolero (Official Video),Bolero (feat. MIKA),True
The Origin Of Love (Deluxe),album,MIKA,Universal Music France,False,Mika - Elle Me Dit (clip officiel),Elle me dit,False
"I Love Life, Thank You",album,The Temper Trap,Time Records,True,The Temper Trap - Love Lost [Official Video HD],Love Lost,True
Conditions,album,The Temper Trap,[PIAS],False,The Temper Trap - Sweet Disposition (Official Video),Sweet Disposition,False
Conditions,album,The Temper Trap,TheTemperTrapVEVO,True,The Temper Trap - Fader,Fader,True
Conditions,album,The Temper Trap,Time Records,True,The Temper Trap - Love Lost [Official Video HD],Love Lost,True
Sweet Disposition (Vintage Culture & Lazy Bear Remix),single,The Temper Trap,Tech Me House,False,Temper Trap - Sweet Disposition (Vintage Culture & Lazy Bear Remix),Sweet Disposition (Vintage Culture & Lazy Bear Remix),False
Sweet Disposition (Bootleg),single,The Temper Trap,Youngr,False,The Temper Trap - Sweet Disposition (Youngr Bootleg) - Live at Morning Gloryville,Sweet Disposition - Bootleg,True
Dancing in the Dark (triple j Like A Version),single,The Temper Trap,The Temper Trap - Topic,True,Dancing in the Dark (triple j Like A Version),Dancing in the Dark - triple j Like A Version,True
Conditions,album,The Temper Trap,n00ze,False,The Temper Trap - Soldier On,Soldier On,False
The Temper Trap,album,The Temper Trap,TheTemperTrapVEVO,True,The Temper Trap - Trembling Hands,Trembling Hands,True
Thick as Thieves (Deluxe Version),album,The Temper Trap,TheTemperTrapVEVO,True,The Temper Trap - Fall Together (Official Video),Fall Together,True
Seja Para Mim (Acústico),single,Maneva,ManevaVEVO,True,Maneva - Seja Para Mim (Acústico),Seja Para Mim - Acústico,True
Tempo de Paz,album,Maneva,ManevaVEVO,True,Maneva - Pisando Descalço,Pisando Descalço,True
#Somosmaneva,album,Maneva,ManevaVEVO,True,Maneva - O Destino Não Quis (Ao Vivo Em São Paulo),O Destino Não Quis,True
Tempo de Paz,album,Maneva,ManevaVEVO,True,Maneva - Saudades Do Tempo (Ao Vivo Em São Paulo),Saudades do Tempo,True
Tempo de Paz,album,Maneva,ManevaVEVO,True,Maneva - Êxodo (Ao Vivo Em São Paulo) ft. Zeider,Êxodo,True
Maneva,album,Maneva,ManevaVEVO,True,Maneva - Daquele Jeito (Ao Vivo Em São Paulo),Daquele Jeito,True
